,news_id,category_id
0,1,7
1,10,7
2,100,6
3,1000,7
4,10000,4
5,100000,6
6,100001,4
7,100002,4
8,100003,2
9,100004,2
10,100005,2
11,100006,4
12,100007,7
13,100008,2
14,100009,2
15,10001,3
16,100010,2
17,100011,5
18,100012,4
19,100013,4
20,100014,4
21,100015,3
22,100016,6
23,100017,7
24,100018,2
25,100019,5
26,10002,3
27,100020,6
28,100021,3
29,100022,8
30,100023,7
31,100024,7
32,100025,6
33,100026,4
34,100027,3
35,100028,3
36,100029,7
37,10003,2
38,10003,5
39,100030,2
40,100030,7
41,100031,7
42,100032,2
43,100032,5
44,100033,2
45,100033,5
46,100034,2
47,100034,5
48,100035,2
49,100036,2
50,100037,4
51,100038,7
52,100039,2
53,10004,5
54,100040,2
55,100041,4
56,100042,3
57,100043,6
58,100044,4
59,100045,3
60,100046,8
61,100047,2
62,100048,6
63,100049,7
64,10005,5
65,100050,8
66,100051,6
67,100052,6
68,100053,4
69,100054,2
70,100055,7
71,100056,7
72,100057,2
73,100057,5
74,100058,2
75,100059,2
76,10006,6
77,100060,8
78,100061,7
79,100062,2
80,100063,4
81,100064,3
82,100065,7
83,100066,2
84,100067,6
85,100068,4
86,100069,3
87,10007,7
88,100070,3
89,100071,7
90,100072,2
91,100073,5
92,100074,6
93,100075,6
94,100076,2
95,100076,7
96,100077,7
97,100078,2
98,100079,4
99,10008,7
100,100080,4
101,100081,2
102,100082,4
103,100083,3
104,100084,3
105,100085,6
106,100086,4
107,100087,6
108,100088,8
109,100089,2
110,10009,7
111,100090,5
112,100091,6
113,100092,3
114,100093,3
115,100094,3
116,100095,2
117,100096,2
118,100097,2
119,100098,5
120,100098,6
121,100099,6
122,1001,7
123,10010,2
124,100100,6
125,100101,4
126,100102,3
127,100103,2
128,100104,7
129,100105,4
130,100106,2
131,100107,2
132,100107,6
133,100108,2
134,100109,7
135,10011,2
136,100110,7
137,100111,7
138,100112,7
139,100113,6
140,100114,4
141,100115,4
142,100116,4
143,100117,2
144,100118,7
145,100119,2
146,100119,6
147,10012,2
148,100120,3
149,100121,6
150,100122,4
151,100123,3
152,100124,3
153,100125,2
154,100126,2
155,100127,4
156,100128,3
